epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,35.6963,1.37061,3.84749,0.31339,0.80093,1.25013,0.49474,0.28046,0.31381,0.09226,0.03975,0.07143,0.02641,0.00938,2.51669,8.40216,0.69144,3.33075,2.43095,0.000395752,0.000395752,0.000395752
76,36.1174,0.58369,1.42824,0.24948,0.50313,0.8823,0.49474,0.28046,0.31381,0.09226,0.03975,0.07143,0.02641,0.00938,2.51669,8.40216,0.69144,3.33075,2.43095,0.00038625,0.00038625,0.00038625
77,36.4548,0.95736,2.04144,0.22673,0.85816,1.08167,0.49474,0.28046,0.31381,0.09226,0.03975,0.07143,0.02641,0.00938,2.51669,8.40216,0.69144,3.33075,2.43095,0.000376352,0.000376352,0.000376352
78,36.9323,1.23282,3.04191,0.3199,0.82054,1.2435,0.44411,0.28571,0.28666,0.08802,0.05899,0.07143,0.02565,0.00796,2.38344,8.21379,0.6728,3.0493,2.35083,0.000366058,0.000366058,0.000366058
79,37.2915,0.83684,2.5923,0.26418,0.60259,1.07423,0.44411,0.28571,0.28666,0.08802,0.05899,0.07143,0.02565,0.00796,2.38344,8.21379,0.6728,3.0493,2.35083,0.000355368,0.000355368,0.000355368
80,37.6328,0.74704,2.00949,0.31231,0.5892,0.88448,0.44411,0.28571,0.28666,0.08802,0.05899,0.07143,0.02565,0.00796,2.38344,8.21379,0.6728,3.0493,2.35083,0.000344282,0.000344282,0.000344282
81,38.1088,0.87493,2.32809,0.32438,0.91876,1.12894,0.44532,0.35714,0.33387,0.10501,0.26931,0.21429,0.13634,0.0294,2.1247,7.89618,0.65119,3.15736,2.11277,0.0003328,0.0003328,0.0003328
82,38.4867,0.55259,1.27225,0.16973,0.4607,0.8969,0.44532,0.35714,0.33387,0.10501,0.26931,0.21429,0.13634,0.0294,2.1247,7.89618,0.65119,3.15736,2.11277,0.000320922,0.000320922,0.000320922
83,38.8508,0.75903,1.90674,0.33604,0.5978,1.05824,0.44532,0.35714,0.33387,0.10501,0.26931,0.21429,0.13634,0.0294,2.1247,7.89618,0.65119,3.15736,2.11277,0.000308648,0.000308648,0.000308648
84,39.215,0.70383,3.20549,0.25022,0.62566,1.03904,0.43059,0.35714,0.37706,0.12711,0.41961,0.28571,0.18837,0.06028,2.05754,7.57513,0.65622,3.1782,1.96375,0.000295978,0.000295978,0.000295978
85,39.6311,0.60354,1.17662,0.25174,0.51071,0.9044,0.43059,0.35714,0.37706,0.12711,0.41961,0.28571,0.18837,0.06028,2.05754,7.57513,0.65622,3.1782,1.96375,0.000282912,0.000282912,0.000282912
86,39.9901,0.68786,1.95127,0.25322,0.61766,1.04585,0.43059,0.35714,0.37706,0.12711,0.41961,0.28571,0.18837,0.06028,2.05754,7.57513,0.65622,3.1782,1.96375,0.00026945,0.00026945,0.00026945
87,40.3731,1.00005,2.69324,0.31942,1.09091,1.18251,0.43059,0.35714,0.37706,0.12711,0.41961,0.28571,0.18837,0.06028,2.05754,7.57513,0.65622,3.1782,1.96375,0.000255592,0.000255592,0.000255592
88,40.7571,0.65898,1.69143,0.28371,0.52642,0.9563,0.52959,0.42857,0.36405,0.15884,0.40471,0.28571,0.15586,0.04911,1.99508,7.4784,0.65616,3.16456,1.87702,0.000241338,0.000241338,0.000241338
89,41.1962,0.73919,1.75548,0.2843,0.52375,1.02475,0.52959,0.42857,0.36405,0.15884,0.40471,0.28571,0.15586,0.04911,1.99508,7.4784,0.65616,3.16456,1.87702,0.000226688,0.000226688,0.000226688
90,41.561,0.78735,1.7267,0.29716,0.58592,1.09389,0.52959,0.42857,0.36405,0.15884,0.40471,0.28571,0.15586,0.04911,1.99508,7.4784,0.65616,3.16456,1.87702,0.000211642,0.000211642,0.000211642
91,50.9291,0.63121,0.98195,0.25501,0.54633,0.97821,0.52959,0.42857,0.36405,0.15884,0.40471,0.28571,0.15586,0.04911,1.99508,7.4784,0.65616,3.16456,1.87702,0.0001962,0.0001962,0.0001962
92,51.4913,0.61676,1.8069,0.33475,0.5538,0.97314,0.65691,0.35714,0.37827,0.17574,0.51034,0.28571,0.17912,0.04376,1.96631,7.35104,0.6451,2.96179,1.85889,0.000180362,0.000180362,0.000180362
93,51.9244,0.55344,1.08578,0.25792,0.47089,0.93946,0.65691,0.35714,0.37827,0.17574,0.51034,0.28571,0.17912,0.04376,1.96631,7.35104,0.6451,2.96179,1.85889,0.000164128,0.000164128,0.000164128
94,52.3533,0.5945,1.45812,0.22955,0.51696,0.85641,0.65691,0.35714,0.37827,0.17574,0.51034,0.28571,0.17912,0.04376,1.96631,7.35104,0.6451,2.96179,1.85889,0.000147498,0.000147498,0.000147498
95,52.7715,0.54716,1.01203,0.21301,0.48369,0.99872,0.65691,0.35714,0.37827,0.17574,0.51034,0.28571,0.17912,0.04376,1.96631,7.35104,0.6451,2.96179,1.85889,0.000130472,0.000130472,0.000130472
96,53.1622,0.59614,1.32764,0.22875,0.57351,0.97779,0.55696,0.35714,0.38688,0.17341,0.2638,0.21429,0.07678,0.02361,1.91251,7.22624,0.63084,2.70427,1.84431,0.00011305,0.00011305,0.00011305
97,53.5401,0.64476,1.19253,0.21032,0.53996,0.92038,0.55696,0.35714,0.38688,0.17341,0.2638,0.21429,0.07678,0.02361,1.91251,7.22624,0.63084,2.70427,1.84431,9.5232e-05,9.5232e-05,9.5232e-05
98,53.9374,0.82094,1.45072,0.22401,0.55484,1.0704,0.55696,0.35714,0.38688,0.17341,0.2638,0.21429,0.07678,0.02361,1.91251,7.22624,0.63084,2.70427,1.84431,7.7018e-05,7.7018e-05,7.7018e-05
99,54.333,0.66647,1.18618,0.25439,0.57406,1.00185,0.55696,0.35714,0.38688,0.17341,0.2638,0.21429,0.07678,0.02361,1.91251,7.22624,0.63084,2.70427,1.84431,5.8408e-05,5.8408e-05,5.8408e-05
100,54.8454,0.54599,1.18934,0.25856,0.42607,0.89488,0.39667,0.56389,0.42512,0.20528,0.24342,0.21429,0.07349,0.02595,1.87279,7.11422,0.62216,2.47187,1.83147,3.9402e-05,3.9402e-05,3.9402e-05
